40	0.17
50	0.211
60	0.251
70	0.292
80	0.334
90	0.375
100	0.417
110	0.459
120	0.5
130	0.542
140	0.583
150	0.625
160	0.666
170	0.706
180	0.748
190	0.79
200	0.832
210	0.873
220	0.913
230	0.954
240	0.994
250	1.036
260	1.077
270	1.116
280	1.156
290	1.192
300	1.229
310	1.263
320	1.296
330	1.329
340	1.36
350	1.389
360	1.417
370	1.444
380	1.47
390	1.495
400	1.52
410	1.544
420	1.567
430	1.59
440	1.611
