115	420
120	420
125	420
130	420
135	420
140	420
145	420
150	420
155	420
160	420
165	420
170	420
175	420
180	420
185	420
190	420
195	420
200	420
205	420
210	420
215	420
220	420
225	420
230	420
235	420
240	420
245	420
250	420
255	420
260	420
265	420
270	420
275	420
280	420
285	420
290	420
295	420
300	420
305	420
310	420
315	420
320	420
325	420
330	420
335	420
340	420
345	420
350	420
355	420
360	420
365	420
370	420
375	420
380	420
385	420
390	420
395	420
400	420
405	420
406	419
448	418
465	417
472	416
481	415
485	414
489	413
493	412
496	411
497	410
501	409
503	408
504	407
508	406
510	405
512	404
513	403
515	402
517	401
518	400
519	399
521	398
521.5	397
523	396
524	395
525	394
526	393
527	392
528	391
529.5	390
530.6	389
531.2	388
532.3	387
533.1	386
533.6	385
534.5	384
535.1	383
536	382
536.9	381
537.5	380
538.4	379
539.3	378
540	377
541	376
542	375
543	373
544	372
545	370
546	369
547	367
548	366
549	364
550	362
551	361
552	359
553	358
554	356
555	354
556	352
557	350
558	349
559	347
560	345
561	343
562	341
563	339
564	337
565	335
566	333
567	331
568	329
569	327
570	324
571	322
572	320
573	318
574	316
575	314
576	312
577	309
578	307
579	304
580	302
581	300
582	298
583	296
584	293
585	291
586	289
587	287
588	284
589	282
590	280
591	278
592	275
593	273
594	270
595	268
596	266
597	264
598	262
599	259
600	257
601	255
602	253
603	251
604	248
605	246
606	244
607	242
608	240
609	238
610	236
611	234
612	231
613	229
614	227
615	225
616	223
617	221
618	219
619	217
620	215
621	213
622	212
623	210
624	208
625	206
626	204
627	202
628	200
629	199
630	197
631	195
632	193
633	191
634	190
635	188
636	186
637	185
638	183
639	181
640	180
641	178
642	177
643	175
644	173
645	172
646	170
647	168
648	167
649	165
650	164
651	163
652	161
653	160
654	158
655	156
656	155
657	154
658	152
659	151
660	149
661	148
662	146
663	145
664	143
665	142
666	140
667	139
668	137
669	136
670	135
671	134
672	132
673	131
674	130
675	129
676	128
677	127
678	126
679	125
680	124
681	123
682	121
683	120
684	119
685	118
686	117
687	116
688	114
689	113
690	112
691	111
692	110
693	109
694	108
695	107
696	106
697	105
698	104
699	103
700	102
701	101
702	100
703	99
704	98
705	97
706	96
707	95
708	94
709	93
710	93
711	92
712	91
713	90
714	89
715	88
716	87
717	86
718	85
719	84
720	83
721	82
722	81
723	81
724	80
725	79
726	78
727	77
728	77
729	76
730	75
731	74
732	73
733	72
734	71
735	71
736	70
737	69
738	68
739	68
740	67
940	7
938	7
923	8
920	8
915	8
910	9
908	10
900	10
897	11
890	12
885	12
880	13
871	14
865	15
860	16
850	18
845	19
840	20
835	21
830	23
825	24
820	26
815	27
810	29
805	31
800	33
795	35
790	37
785	40
780	42
775	46
770	48
765	51
760	54
755	57
750	60
745	64
740	67
735	70
730	74
725	77
720	82
