0	0.88466075
40	168.92214175
50	210.79274475
60	252.590399
70	294.73193
80	336.66708775
90	378.709187
100	420.80689925
110	462.717746
120	504.695163
130	546.80248875
140	588.69838175
150	630.6600525
160	672.38138925
170	714.38926575
180	756.11961
190	797.75839175
200	839.74617225
210	880.9812125
220	922.57288775
230	963.87950075
240	1005.00678125
250	1046.15869125
260	1087.039484
270	1127.17252325
280	1167.25767125
290	1205.99314275
300	1243.55089575
310	1279.9118605
320	1314.59013325
330	1347.53455175
340	1379.110054
350	1409.52664575
360	1438.749663
370	1466.983298
380	1494.5082185
390	1521.195039
400	1547.08106125
410	1572.28162475
420	1596.7753965
430	1620.5701115
440	1643.637618
