# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 83 0 2.47458e-17 0.000926849 5.10042e-05 0 0 0 
0 0 84 0 2.47237e-17 0.000950057 4.95333e-05 0 0 0 
0 0 85 0 2.47016e-17 0.000973266 4.80623e-05 0 0 0 
0 0 86 0 2.46796e-17 0.000996474 4.65914e-05 0 0 0 
0 0 87 0 2.46575e-17 0.00101968 4.51205e-05 0 0 0 
0 0 88 0 2.46354e-17 0.00104289 4.36495e-05 0 0 0 
0 0 89 0 2.46133e-17 0.0010661 4.21786e-05 0 0 0 
0 0 90 0 2.45913e-17 0.00108931 4.07077e-05 0 0 0 
0 0 91 0 2.51728e-17 0.00112006 4.41722e-05 0 0 0 
0 0 92 0 2.57543e-17 0.00115081 4.76367e-05 0 0 0 
0 0 93 0 2.63358e-17 0.00118155 5.11012e-05 0 0 0 
0 0 94 0 2.69173e-17 0.0012123 5.45657e-05 0 0 0 
0 0 95 0 2.74988e-17 0.00124305 5.80302e-05 0 0 0 
0 0 96 0 2.80803e-17 0.0012738 6.14947e-05 0 0 0 
0 0 97 0 2.86618e-17 0.00130455 6.49592e-05 0 0 0 
0 0 98 0 2.92432e-17 0.0013353 6.84237e-05 0 0 0 
0 0 99 0 2.98247e-17 0.00136605 7.18882e-05 0 0 0 
0 0 100 0 3.04062e-17 0.0013968 7.53527e-05 0 0 0 
0 0 101 0 3.07384e-17 0.001423 7.19768e-05 0 0 0 
0 0 102 0 3.10706e-17 0.00144921 6.8601e-05 0 0 0 
0 0 103 0 3.14028e-17 0.00147542 6.52251e-05 0 0 0 
0 0 104 0 3.1735e-17 0.00150163 6.18493e-05 0 0 0 
0 0 105 0 3.20672e-17 0.00152784 5.84735e-05 0 0 0 
0 0 106 0 3.23994e-17 0.00155405 5.50976e-05 0 0 0 
0 0 107 0 3.27316e-17 0.00158025 5.17218e-05 0 0 0 
0 0 108 0 3.30637e-17 0.00160646 4.83459e-05 0 0 0 
0 0 109 0 3.33959e-17 0.00163267 4.49701e-05 0 0 0 
0 0 110 0 3.37281e-17 0.00165888 4.15942e-05 0 0 0 
0 0 111 0 3.58644e-17 0.00169677 4.42196e-05 0 0 0 
0 0 112 0 3.80007e-17 0.00173465 4.68451e-05 0 0 0 
0 0 113 0 4.0137e-17 0.00177254 4.94705e-05 0 0 0 
0 0 114 0 4.22734e-17 0.00181042 5.20959e-05 0 0 0 
0 0 115 0 4.44097e-17 0.00184831 5.47214e-05 0 0 0 
0 0 116 0 4.6546e-17 0.0018862 5.73468e-05 0 0 0 
0 0 117 0 4.86823e-17 0.00192408 5.99722e-05 0 0 0 
0 0 118 0 5.08186e-17 0.00196197 6.25977e-05 0 0 0 
0 0 119 0 5.29549e-17 0.00199986 6.52231e-05 0 0 0 
0 0 120 0 5.50912e-17 0.00203774 6.78485e-05 0 0 0 
0 0 121 0 4.95714e-17 0.00207739 6.88131e-05 0 0 0 
0 0 122 0 4.40516e-17 0.00211704 6.97777e-05 0 0 0 
0 0 123 0 3.85318e-17 0.00215669 7.07422e-05 0 0 0 
0 0 124 0 3.3012e-17 0.00219634 7.17068e-05 0 0 0 
0 0 125 0 2.74922e-17 0.00223599 7.26714e-05 0 0 0 
0 0 126 0 2.19725e-17 0.00227565 7.3636e-05 0 0 0 
0 0 127 0 1.64527e-17 0.0023153 7.46005e-05 0 0 0 
0 0 128 0 1.09329e-17 0.00235495 7.55651e-05 0 0 0 
0 0 129 0 5.41309e-18 0.0023946 7.65297e-05 0 0 0 
0 0 130 0 -1.06704e-19 0.00243425 7.74942e-05 0 0 0 
